Category,Lender,Min APR,Max APR,Max Loan Term (Months),Min. Credit Score,Time To Fund (Days),Min Loan Amount ($),Max Loan Amount ($),Origination Fee (%),BBB Rating,States of Operation,Min Down Payment %
Personal,Achieve,8.99,35.99,60,620,1,5000,50000,1.99,A+,N/A,N/A
Personal,Affirm,8.99,36,60,580,0,1000,50000,1.99,A+,N/A,N/A
Personal,Afterpay,8.99,35.99,12,730,2,1000,50000,0,A+,N/A,N/A
Personal,Alliant Credit Union,8.99,35.99,60,750,0,1000,100000,0,A+,N/A,N/A
Personal,American Express,6.9,19.97,60,800,1,3500,40000,0,A,N/A,N/A
Personal,Avant,9.95,35.99,60,580,1,2000,35000,0,A+,N/A,N/A
Personal,Axos Bank,11.79,20.84,72,730,1,7000,50000,1,A+,N/A,N/A
Personal,Bank of America Balance,5.99,29.76,3,730,1,500,100000,1.99,A+,N/A,N/A
Personal,Assist,7.99,20.84,48,750,2,5000,40000,0,A+,N/A,N/A
Personal,Barclays,7.99,29.76,60,800,1,2000,50000,0.99,A+,N/A,N/A
Personal,Best Egg,7.99,35.99,60,640,1,2000,50000,0.99,A+,N/A,N/A
Personal,BHG,11.96,25.31,120,660,5,20000,200000,0,A+,N/A,N/A
Personal,Discover,7.99,24.99,84,660,1,2500,40000,0,A+,N/A,N/A
Personal,Fig,6.99,20.84,6,600,1,100,1000,0,A+,N/A,N/A
Personal,First Tech Federal Credit Union,8.49,29.76,84,0,0,500,50000,0,A+,N/A,N/A
Personal,Happy Money,8.95,17.48,60,640,0,5000,40000,0,NR,N/A,N/A
Personal,Kikoff,7.99,35.99,60,0,2,0,750,0,B-,N/A,N/A
Personal,Klarna,8.91,29.99,24,650,2,0,750,0,A+,N/A,N/A
Personal,LendingClub,8.91,35.99,60,640,0,1000,40000,3,A+,N/A,N/A
Personal,LendingPoint,7.99,35.99,72,0,1,2000,36500,0,A+,N/A,N/A
Personal,Lending Tree,6.99,20.84,100,650,1,1000,50000,3,A+,N/A,N/A
Personal,LendingUSA,7.99,35.99,120,620,1,1000,25000,0,A+,N/A,N/A
Personal,LightStream,6.94,25.29,84,680,0,5000,100000,0,A,N/A,N/A
Personal,Mariner Personal Loans,6.99,29.5,60,640,2,1000,25000,3,A+,N/A,N/A
Personal,MoneyKey,2.9,29.5,12,0,1,200,2500,3,B,N/A,N/A
Personal,Moneylion,6.99,35.99,36,650,2,5000,100000,3,C-,N/A,N/A
Personal,NetCredit,34.99,99.99,60,700,1,1000,40000,3,B,N/A,N/A
Personal,OneMain Financial,18,35.99,60,0,1,1500,20000,1,A-,N/A,N/A
Personal,Oportun,8.99,35.99,46,0,0,300,10000,3,A+,N/A,N/A
Personal,OppLoans,160,195,18,0,0,500,4000,0,A+,N/A,N/A
Personal,PenFed Credit Union,8.99,17.99,60,680,1,600,50000,0,A+,N/A,N/A
Personal,PNC Bank,7.89,24.74,60,640,2,1000,35000,0,A+,N/A,N/A
Personal,Prosper,8.99,35.99,60,0,1,2000,50000,1,A,N/A,N/A
Personal,Rise,6,29.9,36,650,1,500,5000,0,A+,N/A,N/A
Personal,Rocket Loans,9.12,29.99,60,640,0,2000,45000,0,A+,N/A,N/A
Personal,SoFi®,8.99,29.99,84,680,0,5000,100000,0,A+,N/A,N/A
Personal,Splash Financial,8.99,35.99,84,660,2,1000,100000,0,A+,N/A,N/A
Personal,TD Bank,8.99,23.99,60,700,1,2000,50000,0,D,N/A,N/A
Personal,U.S. Bank,8.74,24.99,84,660,0,1000,50000,0,B+,N/A,N/A
Personal,Universal Credit,11.69,35.99,60,580,1,1000,50000,5.25,A+,N/A,N/A
Personal,Upgrade,7.99,35.99,84,580,1,1000,50000,1.85,A+,N/A,N/A
Personal,Upgrade,7.99,35.99,84,580,1,1000,50000,1.85,A+,N/A,N/A
Personal,Upstart,7.4,35.99,60,300,1,1000,50000,0,A+,N/A,N/A
Personal,Wells Fargo,6.99,24.49,84,580,1,3000,100000,0,NR,N/A,N/A
Home,Achieve HELOC,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,NR,24,5
Home,AFI Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,4,5
Home,Alliant Credit Union,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,50,0
Home,Ally Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B,47,3
Home,AmeriSave,N/A,N/A,N/A,600,N/A,Varies,Varies,N/A,A+,50,3
Home,Armed Forces Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Axos Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Bank of America,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,51,3
Home,Better.com,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A-,51,3
Home,Bison State Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,49,3
Home,Cardinal Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Carrington Mortgage Services,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,3
Home,Central Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,4,3
Home,Chase,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,50,3
Home,CitiMortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,3
Home,Citizens,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B+,51,3
Home,CMG Financial,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,51,3
Home,CrossCountry Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Discover,N/A,N/A,N/A,680,N/A,Varies,Varies,N/A,A+,51,5
Home,Fairway Independent,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Farmers Bank of Kansas City,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Fifth Third Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,42,3
Home,Figure,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,B-,43,5
Home,First Federal Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,First Horizon Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Flagstar Bank,N/A,N/A,N/A,630,N/A,Varies,Varies,N/A,A+,51,5
Home,FourLeaf Federal Credit Union,N/A,N/A,N/A,660,N/A,Varies,Varies,N/A,A+,49,5
Home,Freedom Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,51,5
Home,Guild Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Homefinity,N/A,N/A,N/A,680,N/A,Varies,Varies,N/A,A+,51,3
Home,Hometap,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B+,16,5
Home,KeyBank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,15,0
Home,Lending Tree,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,loanDepot,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,Lower.com,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,42,5
Home,Magnolia Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,4
Home,McGlone,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,46,3
Home,Morty,N/A,N/A,N/A,580,N/A,Varies,Varies,N/A,A+,45,5
Home,Mr. Cooper,N/A,N/A,N/A,600,N/A,Varies,Varies,N/A,A+,51,3
Home,Mutual of Omaha,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,48,3
Home,Navy Federal Credit Union,N/A,N/A,N/A,650,N/A,Varies,Varies,N/A,NR,51,5
Home,NBKC Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,New American Funding,N/A,N/A,N/A,580,N/A,Varies,Varies,N/A,A,49,3
Home,North American Savings,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Northpointe Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,0
Home,OneTrust Home Loans,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,39,5
Home,Paddio,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,47,3
Home,PenFed Credit Union,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,PennyMac,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,5
Home,PNC Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,PrimeLending,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,3
Home,Quicken,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Rate,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Real Genius,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,51,3
Home,Regions,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A,15,0
Home,Rocket Mortgage,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,1
Home,Silverton Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,B-,50,3
Home,Simmons Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,50,5
Home,SoFi,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,A+,49,3
Home,Spring EQ,N/A,N/A,N/A,640,N/A,Varies,Varies,N/A,A+,42,3
Home,TD Bank,N/A,N/A,N/A,620,N/A,Varies,Varies,N/A,NR,15,3
